0.010000 0.000000 0.000000 -0.171553 -0.001252 -0.000000 0.000012 -0.000000 -0.233848 0.000000 -1.014463 -1.014463 0.000839 0.000000 0.000000 0.325077 0.796653 0.000000 0.000000 30.142044 -0.463387 0.000000 0.000000 0.000000 0.000000 0.000000 -0.067142 0.055525 0.000000 -0.233848 0.000000 -1.014463 -1.014463 0.000000 0.000000 0.000839 0.000000 -0.996503 0.000000 0.796653 -0.000000 -0.005711 0.000000 -0.000000
0.020000 0.000000 0.000000 -0.172067 -0.002512 -0.000000 0.000012 -0.000000 -0.234944 0.000000 -1.024021 -1.024021 0.000839 0.000000 0.000000 0.323552 0.792992 0.000000 0.000000 30.284111 -0.465559 0.000000 0.000000 0.000000 0.000000 0.000000 -0.067774 0.055525 0.000000 -0.234944 0.000000 -1.024021 -1.024021 0.000000 0.000000 0.000839 0.000000 -0.999489 0.000000 0.792992 -0.000000 -0.005685 0.000000 -0.000000
0.030000 0.000000 0.000000 -0.172576 -0.003760 -0.000000 0.000012 -0.000000 -0.236040 0.000000 -1.033626 -1.033626 0.000839 0.000000 0.000000 0.322041 0.789365 0.000000 0.000000 30.426200 -0.467731 0.000000 0.000000 0.000000 0.000000 0.000000 -0.068410 0.055525 0.000000 -0.236040 0.000000 -1.033626 -1.033626 0.000000 0.000000 0.000839 0.000000 -1.002446 0.000000 0.789365 -0.000000 -0.005658 0.000000 -0.000000
0.040000 0.000000 0.000000 -0.173081 -0.004995 -0.000000 0.000012 -0.000000 -0.237136 0.000000 -1.043276 -1.043276 0.000839 0.000000 0.000000 0.320543 0.785770 0.000000 0.000000 30.568312 -0.469903 0.000000 0.000000 0.000000 0.000000 0.000000 -0.069049 0.055525 0.000000 -0.237136 0.000000 -1.043276 -1.043276 0.000000 0.000000 0.000839 0.000000 -1.005375 0.000000 0.785770 -0.000000 -0.005632 0.000000 -0.000000
0.050000 0.000000 0.000000 -0.173580 -0.006219 -0.000000 0.000012 -0.000000 -0.238232 0.000000 -1.052973 -1.052973 0.000839 0.000000 0.000000 0.319060 0.782209 0.000000 0.000000 30.710447 -0.472075 0.000000 0.000000 0.000000 0.000000 0.000000 -0.069691 0.055525 0.000000 -0.238232 0.000000 -1.052973 -1.052973 0.000000 0.000000 0.000839 0.000000 -1.008275 0.000000 0.782209 -0.000000 -0.005606 0.000000 -0.000000
0.060000 0.000000 0.000000 -0.174076 -0.007431 -0.000000 0.000012 -0.000000 -0.239329 0.000000 -1.062715 -1.062715 0.000839 0.000000 0.000000 0.317589 0.778679 0.000000 0.000000 30.852605 -0.474248 0.000000 0.000000 0.000000 0.000000 0.000000 -0.070335 0.055525 0.000000 -0.239329 0.000000 -1.062715 -1.062715 0.000000 0.000000 0.000839 0.000000 -1.011147 0.000000 0.778679 -0.000000 -0.005580 0.000000 -0.000000
0.070000 0.000000 0.000000 -0.174566 -0.008632 -0.000000 0.000012 -0.000000 -0.240425 0.000000 -1.072504 -1.072504 0.000839 0.000000 0.000000 0.316132 0.775182 0.000000 0.000000 30.994785 -0.476421 0.000000 0.000000 0.000000 0.000000 0.000000 -0.070983 0.055525 0.000000 -0.240425 0.000000 -1.072504 -1.072504 0.000000 0.000000 0.000839 0.000000 -1.013990 0.000000 0.775182 -0.000000 -0.005554 0.000000 -0.000000
0.080000 0.000000 0.000000 -0.175052 -0.009820 -0.000000 0.000012 -0.000000 -0.241522 0.000000 -1.082338 -1.082338 0.000839 0.000000 0.000000 0.314688 0.771716 0.000000 0.000000 31.136988 -0.478593 0.000000 0.000000 0.000000 0.000000 0.000000 -0.071634 0.055525 0.000000 -0.241522 0.000000 -1.082338 -1.082338 0.000000 0.000000 0.000839 0.000000 -1.016805 0.000000 0.771716 -0.000000 -0.005529 0.000000 -0.000000
0.090000 0.000000 0.000000 -0.175534 -0.010997 -0.000000 0.000012 -0.000000 -0.242618 0.000000 -1.092219 -1.092219 0.000839 0.000000 0.000000 0.313257 0.768280 0.000000 0.000000 31.279214 -0.480766 0.000000 0.000000 0.000000 0.000000 0.000000 -0.072288 0.055525 0.000000 -0.242618 0.000000 -1.092219 -1.092219 0.000000 0.000000 0.000839 0.000000 -1.019591 0.000000 0.768280 -0.000000 -0.005504 0.000000 -0.000000
0.100000 0.000000 0.000000 -0.176011 -0.012162 -0.000000 0.000012 -0.000001 -0.243715 0.000000 -1.102145 -1.102145 0.000839 0.000000 0.000000 0.311838 0.764876 0.000000 0.000000 31.421463 -0.482940 0.000000 0.000000 0.000000 0.000000 0.000000 -0.072945 0.055525 0.000000 -0.243715 0.000000 -1.102145 -1.102145 0.000000 0.000000 0.000839 0.000000 -1.022348 0.000000 0.764876 -0.000000 -0.005479 0.000000 -0.000000
